Cell type: RNN, Hidden size: 250, Num layers: 10, Dropout: 0.85, Bidirectional: False, Accuracy: 49.92, F1 score: 0.6659340262413025
Cell type: RNN, Hidden size: 400, Num layers: 9, Dropout: 0.25, Bidirectional: False, Accuracy: 75.84, F1 score: 0.7256857752799988
Cell type: RNN, Hidden size: 250, Num layers: 9, Dropout: 0.75, Bidirectional: False, Accuracy: 49.92, F1 score: 0.6659340262413025
Cell type: RNN, Hidden size: 350, Num layers: 8, Dropout: 0.5, Bidirectional: False, Accuracy: 75.89, F1 score: 0.7254534363746643
Cell type: RNN, Hidden size: 150, Num layers: 9, Dropout: 0.0, Bidirectional: False, Accuracy: 78.2, F1 score: 0.7722317576408386
Cell type: RNN, Hidden size: 100, Num layers: 3, Dropout: 0.65, Bidirectional: False, Accuracy: 72.1, F1 score: 0.7641597390174866
Cell type: RNN, Hidden size: 100, Num layers: 10, Dropout: 0.15, Bidirectional: False, Accuracy: 74.35, F1 score: 0.6949706077575684
Cell type: RNN, Hidden size: 400, Num layers: 9, Dropout: 0.0, Bidirectional: False, Accuracy: 49.37, F1 score: 0.6546816229820251
Cell type: RNN, Hidden size: 50, Num layers: 11, Dropout: 0.15, Bidirectional: False, Accuracy: 49.92, F1 score: 0.6659340262413025
Cell type: RNN, Hidden size: 200, Num layers: 5, Dropout: 0.35, Bidirectional: False, Accuracy: 77.43, F1 score: 0.7733039259910583
Cell type: RNN, Hidden size: 350, Num layers: 6, Dropout: 0.5, Bidirectional: False, Accuracy: 75.45, F1 score: 0.7598065137863159
Cell type: RNN, Hidden size: 500, Num layers: 5, Dropout: 0.35, Bidirectional: False, Accuracy: 49.04, F1 score: 0.6190476417541504
Cell type: RNN, Hidden size: 100, Num layers: 9, Dropout: 0.85, Bidirectional: False, Accuracy: 49.92, F1 score: 0.6659340262413025
Cell type: RNN, Hidden size: 200, Num layers: 11, Dropout: 0.85, Bidirectional: False, Accuracy: 49.92, F1 score: 0.6659340262413025
Cell type: RNN, Hidden size: 100, Num layers: 6, Dropout: 0.85, Bidirectional: False, Accuracy: 49.92, F1 score: 0.6659340262413025
Cell type: RNN, Hidden size: 50, Num layers: 4, Dropout: 0.0, Bidirectional: False, Accuracy: 74.24, F1 score: 0.7413127422332764
